Domain Name,Agency
a9digital.de,Bundesministerium für Verkehr und digitale Infrastruktur
agrowetter.de,Deutscher Wetterdienst
agrowetter.eu,Deutscher Wetterdienst
alpenflugwetter.com,Deutscher Wetterdienst
alpenflugwetter.de,Deutscher Wetterdienst
alpenflugwetter.eu,Deutscher Wetterdienst
alpenwetter.eu,Deutscher Wetterdienst
arbeitsagentur.de,Bundesagentur für Arbeit
auswaertiges-amt.de,Auswärtiges Amt
aviation-weather.eu,Deutscher Wetterdienst
badv.bund.de,Bundesamt für zentrale Dienste und offene Vermögensfragen
bafa.de,Bundesamt für Wirtschaft und Ausfuhrkontrolle
bafg.de,Bundesanstalt für Gewässerkunde
bafza.de,Bundesamt für Familie und zivilgesellschaftliche Aufgaben
bag.bund.de,Bundesamt für Güterverkehr
ballonwetter.de,Deutscher Wetterdienst
ballonwetter.eu,Deutscher Wetterdienst
bam.de,Bundesanstalt für Materialforschung und -prüfung
bamf.de,Bundesamt für Migration und Flüchtlinge
bast.de,Bundesanstalt für Straßenwesen
bauminister.de,Bundesministerium für Verkehr und digitale Infrastruktur
baw.de,Bundesanstalt für Wasserbau
bbk.bund.de,Bundesamt für Bevölkerungsschutz und Katastrophenhilfe
bbr.bund.de,Bundesamt für Bauwesen und Raumordnung
beirat-raumentwicklung.de,Bundesministerium für Verkehr und digitale Infrastruktur
bev.bund.de,Bundeseisenbahnvermögen
bfarm.de,Bundesinstitut für Arzneimittel und Medizinprodukte
bfb-bund.de,Bundesmonopolverwaltung für Branntwein
bfn.de,Bundesamt für Naturschutz
bfs.de,Bundesamt für Strahlenschutz
bfu-web.de,Bundesstelle für Flugunfalluntersuchung
bka.de,Bundeskriminalamt
bkg.bund.de,Bundesamt für Kartographie und Geodäsie
bmas.de,Bundesministerium für Arbeit und Soziales
bmbf.de,Bundesministerium für Bildung und Forschung
bmel.de,Bundesministerium für Ernährung und Landwirtschaft
bmfsfj.de,"Bundesministerium für Familie, Senioren, Frauen und Jugend"
bmg.bund.de,Bundesministerium für Gesundheit
bmi.bund.de,Bundesministerium des Innern
bmjv.de,Bundesministerium der Justiz und für Verbraucherschutz
bmub.de,"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit"
bmvbs.de,Bundesministerium für Verkehr und digitale Infrastruktur
bmvg.de,Bundesministerium der Verteidigung
bmvi.de,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.eu,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.info,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.net,Bundesministerium für Verkehr und digitale Infrastruktur
bmvi.org,Bundesministerium für Verkehr und digitale Infrastruktur
bmwi.de,Bundesministerium für Wirtschaft und Energie
bmz.de,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
bnd.de,Bundesnachrichtendienst
bpatg.de,Bundespatentgericht
breitbandatlas.de,Bundesministerium für Verkehr und digitale Infrastruktur
briefing4aviation.com,Deutscher Wetterdienst
